Natural Increase,County Code
1.7712975220479925,21
17.904173419773095,19
9.433962264150942,23
21.1225347041645,45
5.578365426613919,26
13.148027795830625,35
1.4846729352857269,31
1.1410072706044687,35
0.6270948210617363,46
12.423963133640555,25
7.037869149771269,39
7.428320815744751,50
17.807532905223844,32
20.43010752688172,23
190.48927982407918,7
210.51433773327264,43
3.704837228781753,19
12.349034329296257,27
13.229810491903764,18
11.207726771532654,24
0.5610813567967357,20
63.06861989205861,18
25.131336078375696,11
19.06888051718525,34
3.829523098126269,21
6.063107923321035,43
0.39115238539866004,45
8.751986579551476,45
6.591583726209183,32
4.9274866709153935,15
21.181161226015448,25
4.660582694841637,26
8.151861114889966,38
30.53291536050157,19
29.93824747909013,19
11.643176048323557,52
6.723078706386925,22
4.614952445924796,42
11.947899324258152,25
3.408551068883611,2
12.051697627062293,5
4.559616992172657,4
33.00054099247529,52
3.051648098990448,34
2.5755302232872723,37
0.5630540049227009,45
9.75379001193882,15
4.407810640454886,49
28.10329861111111,9
59.32621199671323,44
